Date,Qobs,Qmhm,Qmhm_mat,Melt_total
5/21/2010,57.2,44.70021381,29.0566812,0
5/22/2010,55.1,44.50411826,28.9825766,0
5/23/2010,55,44.32745988,28.9281518,0
5/24/2010,54.4,44.1025999,28.7631705,0
5/25/2010,55.5,43.86591162,28.5870751,0
5/26/2010,54.7,43.64030538,28.4189715,0
5/27/2010,57.3,43.41965169,28.2548742,0.06
5/28/2010,55.4,43.23688744,28.1325861,0
5/29/2010,63.9,43.15046386,28.1312118,0
5/30/2010,60.7,43.0586958,28.1122375,0
5/31/2010,59.3,42.85947,27.9508283,0
6/1/2010,66.2,42.65546074,27.7851394,0
6/2/2010,64.9,42.45552726,27.6235216,0
6/3/2010,61.7,42.26776039,27.474842,0
6/4/2010,60.4,42.08734541,27.3325725,0
6/5/2010,59.3,41.90685243,27.2067442,2.198
6/6/2010,56.1,41.73518615,27.1002662,1.818
6/7/2010,59.6,41.56860451,26.9912076,1.819
6/8/2010,59,41.40305261,26.8664327,0
6/9/2010,59.3,41.24227917,26.7281665,0
6/10/2010,58.9,41.08822471,26.5955276,0
6/11/2010,57.6,40.94175752,26.4742074,0
6/12/2010,58.3,40.80776515,26.370065,0
6/13/2010,58.3,40.6655904,26.2575806,0
6/14/2010,57.9,40.6608124,26.2844977,0
6/15/2010,56.1,40.80022433,26.4336257,0
6/16/2010,60.1,40.91395641,26.5731928,0
6/17/2010,55.8,41.10882582,26.7768334,0
6/18/2010,64.4,42.07511718,27.7941584,0
6/19/2010,53.7,43.60939262,29.2471266,0
6/20/2010,57.4,43.51117447,29.1622226,0
6/21/2010,58.6,43.05351826,28.753751,0
6/22/2010,59.1,42.72093151,28.4658196,0
6/23/2010,67.2,43.19076107,29.0454506,0
6/24/2010,75.3,44.93879129,30.863934,0
6/25/2010,64,45.87927852,31.7172051,0
6/26/2010,61.1,45.204843,31.0833559,0
6/27/2010,55.4,44.58547032,30.4991088,0
6/28/2010,55.1,43.97949702,29.9307978,0
6/29/2010,57.8,43.54301031,29.5409121,0.504
6/30/2010,56.3,43.31360933,29.3552498,0.699
7/1/2010,55.7,43.19701697,29.2870372,1.062
7/2/2010,54.8,43.15604773,29.2841072,0.522
7/3/2010,54.7,42.93078174,29.080618,0
